ind,season,town,prop.fruit,blp,cfp,cap,gsp,lcp,mtp,mbp,mcp,mrp,mlp,oap,pwp,qpp,spp,srp,vmp
589,Winter,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Winter,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Winter,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scuteless,Winter,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,Winter,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D2,Winter,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,Spring,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,Spring,S,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0
U,Spring,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US,Spring,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Spring,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,Spring,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
589,Spring,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Spring,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,Spring,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,Spring,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,Spring,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D2,Spring,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4,Spring,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Spring,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scuteless,Spring,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,Spring,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,Spring,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Spring,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615,Spring,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6000,Spring,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4,Spring,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scuteless,Spring,E,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Spring,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,Spring,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,Spring,E,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
210,Spring,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,Spring,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D2,Spring,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Spring,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,Spring,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
589,Spring,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615,Spring,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Spring,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,Spring,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scuteless,Spring,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,Spring,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,Spring,E,0.02,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
67,Summer,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D2,Summer,S,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
589,Summer,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scuteless,Summer,E,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
UE,Summer,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,Summer,E,0.05,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0
40,Summer,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,Summer,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4,Summer,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Summer,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Summer,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,Summer,S,0.15,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0
300,Summer,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,Summer,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,Summer,S,0.25,0,0,0.05,0,0,0,0,0,0,0,0.2,0,0,0,0,0
UE,Summer,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Summer,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6000,Summer,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Summer,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scuteless,Summer,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Summer,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,Summer,W,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0
